"Image URL"                                                   , "Price", "Description HTML"                                                                                                                                                                                                                                    , "Restaurant Name"    , "Category"   , "Product ID"        , "Cuisine Type"       , "Product Name"                  , "Short Description"                                                                                       , "Menu Code"
"https://images.unsplash.com/photo-1573080496219-bb080dd4f877", "12.0" , "<ul><li>Hand-cut Kennebec potatoes</li><li>Double-fried for extra crispiness</li><li>White truffle oil toss</li><li>Shaved aged Parmigiano-Reggiano</li><li>Fresh herbs and sea salt</li><li>Vegetarian</li></ul>"                                   , "The Butcher's Table", "Sides"      , "2v26gsbwfkbb3qj5ek", "Steakhouse"         , "Truffle Parmesan Fries"        , "Hand-cut fries tossed with white truffle oil and aged parmesan."                                         , "R3-M7"
"https://images.unsplash.com/photo-1600891964599-f61ba0e24092", "52.0" , "<ul><li>40-ounce bone-in tomahawk ribeye</li><li>Dry-aged 45 days</li><li>Seared over hardwood charcoal</li><li>House compound herb butter</li><li>Serves 2-3 people</li><li>Gluten-free</li></ul>"                                                  , "The Butcher's Table", "Mains"      , "73skw9dl4uj6uj3fpd", "Steakhouse"         , "Bone-In Tomahawk"              , "40oz bone-in ribeye, dry-aged 45 days, with compound herb butter."                                       , "R3-M45"
"https://images.unsplash.com/photo-1546069901-ba9599a7e63c"   , "16.0" , "<ul><li>Crisp iceberg lettuce wedge</li><li>House blue cheese dressing</li><li>Smoky bacon lardons</li><li>Halved cherry tomatoes</li><li>Fresh chives</li><li>Gluten-free</li></ul>"                                                                , "The Butcher's Table", "Appetizers" , "j9xzfce0yvr76la88j", "Steakhouse"         , "Wedge Salad"                   , "Iceberg wedge with blue cheese crumbles, bacon lardons, and cherry tomatoes."                            , "R3-M46"
"https://images.unsplash.com/photo-1512621776951-a57141f2eefd", "24.0" , "<ul><li>Creamy Italian burrata cheese</li><li>Jewel-toned heirloom tomatoes</li><li>Aged balsamic pearls</li><li>Fresh basil oil</li><li>Maldon sea salt</li><li>Vegetarian, gluten-free</li></ul>"                                                  , "Verdant Kitchen"    , "Salads"     , "kir3shxuc45z6sjfli", "Plant-Based"        , "Heirloom Burrata"              , "Creamy burrata, balsamic pearls, fresh basil oil, and heirloom tomatoes."                                , "R4-M8"
"https://images.unsplash.com/photo-1476124369491-e7addf5db371", "28.0" , "<ul><li>Creamy Arborio rice</li><li>Foraged chanterelle, porcini, and oyster mushrooms</li><li>Black truffle zest</li><li>Aged Parmigiano-Reggiano</li><li>White wine and shallot base</li><li>Vegetarian, gluten-free</li></ul>"                    , "Verdant Kitchen"    , "Mains"      , "ln2wfvcnayc8pe04cu", "Plant-Based"        , "Wild Mushroom Risotto"         , "Arborio rice with a medley of forest mushrooms and truffle zest."                                        , "R4-M9"
"https://images.unsplash.com/photo-1476124369491-e7addf5db371", "22.0" , "<ul><li>House-made sourdough flatbread</li><li>Wild mushroom medley</li><li>Peppery arugula</li><li>Shaved parmesan</li><li>Truffle cream drizzle</li><li>Vegetarian</li></ul>"                                                                      , "Verdant Kitchen"    , "Mains"      , "mmegzqt26kespwlx6d", "Plant-Based"        , "Truffle Mushroom Flatbread"    , "Sourdough flatbread with wild mushrooms, arugula, and truffle cream."                                    , "R4-M47"
"https://images.unsplash.com/photo-1512621776951-a57141f2eefd", "18.0" , "<ul><li>Roasted spiced chickpeas</li><li>Golden beets and purple cabbage</li><li>Sliced avocado</li><li>Fluffy quinoa base</li><li>Creamy lemon-tahini dressing</li><li>Vegan, gluten-free</li></ul>"                                                , "Verdant Kitchen"    , "Bowls"      , "mhr1a54769y8ahxqu9", "Plant-Based"        , "Rainbow Buddha Bowl"           , "Roasted chickpeas, beets, avocado, quinoa, and lemon-tahini dressing."                                   , "R4-M48"
"https://images.unsplash.com/photo-1563805042-7684c019e1cb"   , "16.0" , "<ul><li>70% Valrhona dark chocolate</li><li>Molten liquid center</li><li>House-made vanilla bean gelato</li><li>Cocoa powder dusting</li><li>Fresh raspberry garnish</li><li>Contains dairy, eggs, and gluten</li></ul>"                             , "Pâtisserie Royale"  , "Desserts"   , "qa1u4wvgst0v12s60t", "Desserts"           , "Dark Chocolate Fondant"        , "70% Valrhona chocolate with a molten core and vanilla bean gelato."                                      , "R5-M10"
"https://images.unsplash.com/photo-1563805042-7684c019e1cb"   , "18.0" , "<ul><li>Caramelized puff pastry layers</li><li>Silky vanilla diplomat cream</li><li>Fresh raspberries</li><li>Powdered sugar finish</li><li>Raspberry coulis drizzle</li><li>Contains dairy, eggs, and gluten</li></ul>"                             , "Pâtisserie Royale"  , "Desserts"   , "oitctpcg7ngsxaj419", "Desserts"           , "Raspberry Mille-Feuille"       , "Layers of crisp puff pastry, vanilla diplomat cream, and fresh raspberries."                             , "R5-M49"
"https://images.unsplash.com/photo-1488477181946-6428a0291777", "14.0" , "<ul><li>Golden choux pastry ring</li><li>Praline mousseline cream filling</li><li>Caramelized hazelnuts</li><li>Powdered sugar dusting</li><li>Inspired by the classic cycling race</li><li>Contains dairy, eggs, nuts, and gluten</li></ul>"        , "Pâtisserie Royale"  , "Desserts"   , "wy7g59v6e2o2nk5syb", "Desserts"           , "Paris-Brest"                   , "Choux pastry ring with praline mousseline cream and caramelized hazelnuts."                              , "R5-M50"
"https://images.unsplash.com/photo-1587314168485-3236d6710814", "12.0" , "<ul><li>Butter-rich croissant base</li><li>Soaked in almond syrup</li><li>Frangipane cream filling</li><li>Sliced almond topping</li><li>Twice-baked to golden perfection</li><li>Contains dairy, nuts, and gluten</li></ul>"                        , "Pâtisserie Royale"  , "Pastries"   , "lfvrfw60hzjsgkmgc5", "Desserts"           , "Croissant aux Amandes"         , "Twice-baked almond croissant with frangipane and sliced almonds."                                        , "R5-M51"
"https://images.unsplash.com/photo-1551024506-0bccd828d307"   , "10.0" , "<ul><li>Elongated choux pastry shell</li><li>Rich chocolate pastry cream</li><li>Glossy dark chocolate fondant glaze</li><li>Light and airy interior</li><li>Classic French technique</li><li>Contains dairy, eggs, and gluten</li></ul>"            , "Pâtisserie Royale"  , "Pastries"   , "3a1cyv5qfpwi86se1u", "Desserts"           , "Éclair au Chocolat"            , "Classic French éclair with chocolate pastry cream and dark chocolate glaze."                             , "R5-M52"
"https://images.unsplash.com/photo-1565299624946-b28f40a0ae38", "18.0" , "<ul><li>San Marzano DOP tomato sauce</li><li>Fresh mozzarella di bufala</li><li>Hand-torn basil leaves</li><li>Extra virgin olive oil drizzle</li><li>Hand-stretched wood-fired dough</li><li>Vegetarian</li></ul>"                                  , "Napoli's Finest"    , "Mains"      , "y0vvc62ndq1bqoujwe", "Italian"            , "Margherita Classica"           , "San Marzano tomatoes, fresh mozzarella di bufala, basil, and extra virgin olive oil on wood-fired dough.", "R6-M11"
"https://images.unsplash.com/photo-1574071318508-1cdbab80d002", "22.0" , "<ul><li>Four Italian cheeses: fontina, gorgonzola, mozzarella, parmigiano</li><li>Shaved black truffle</li><li>Wood-fired at 900°F</li><li>Honey drizzle option</li><li>Hand-stretched Neapolitan dough</li><li>Vegetarian</li></ul>"                , "Napoli's Finest"    , "Mains"      , "lfsrs2nm7hlsx2usm9", "Italian"            , "Truffle Quattro Formaggi"      , "Four-cheese pizza with black truffle, fontina, gorgonzola, mozzarella, and parmigiano."                  , "R6-M12"
"https://images.unsplash.com/photo-1473093295043-cdd812d0e601", "16.0" , "<ul><li>Creamy Pugliese burrata</li><li>24-month aged prosciutto di Parma</li><li>Peppery baby arugula</li><li>Aged balsamic reduction</li><li>Extra virgin olive oil</li><li>Gluten-free</li></ul>"                                                 , "Napoli's Finest"    , "Appetizers" , "8vewqtlhjujljlyjev", "Italian"            , "Burrata e Prosciutto"          , "Creamy burrata with 24-month aged prosciutto di Parma and arugula."                                      , "R6-M13"
"https://images.unsplash.com/photo-1551183053-bf91a1d81141"   , "14.0" , "<ul><li>Espresso-soaked Savoiardi ladyfingers</li><li>Airy mascarpone cream layers</li><li>Valrhona cocoa powder dusting</li><li>Traditional Italian recipe</li><li>Made fresh daily</li><li>Contains dairy, eggs, and gluten</li></ul>"             , "Napoli's Finest"    , "Desserts"   , "fits4zk4vjrjcxo1yy", "Italian"            , "Tiramisu Tradizionale"         , "Espresso-soaked ladyfingers, mascarpone cream, and cocoa."                                               , "R6-M14"
"https://images.unsplash.com/photo-1625938145312-a0cc22539026", "12.0" , "<ul><li>Golden-fried Sicilian risotto balls</li><li>Slow-cooked beef ragù filling</li><li>Stretchy mozzarella center</li><li>Marinara dipping sauce</li><li>Served with lemon wedge</li><li>Contains dairy and gluten</li></ul>"                     , "Napoli's Finest"    , "Appetizers" , "lzxoux10ypd6tujfq5", "Italian"            , "Arancini al Ragù"              , "Crispy risotto balls stuffed with slow-cooked beef ragù and mozzarella."                                 , "R6-M15"
"https://images.unsplash.com/photo-1579871494447-9811cf80d66c", "48.0" , "<ul><li>Curated 12-piece nigiri tasting</li><li>Day's finest seasonal fish</li><li>Includes otoro, uni, and A5 Wagyu</li><li>Hand-pressed by the chef</li><li>Served with miso soup</li><li>Contains raw fish and soy</li></ul>"                     , "Sakura Omakase"     , "Mains"      , "nnn709nzqpezvl64xd", "Japanese"           , "Chef's Omakase 12-Piece"       , "Twelve pieces of seasonal nigiri selected by the chef."                                                  , "R7-M16"
"https://images.unsplash.com/photo-1617196034183-421b4917c92d", "26.0" , "<ul><li>Premium A5 Japanese Wagyu beef</li><li>Lightly torched to delicate sear</li><li>Citrus ponzu sauce</li><li>Fresh shiso leaves</li><li>Grated daikon garnish</li><li>Gluten-free</li></ul>"                                                   , "Sakura Omakase"     , "Mains"      , "ps9ifkq5gkjdil3irs", "Japanese"           , "Wagyu Tataki"                  , "A5 Wagyu beef lightly seared with ponzu and shiso."                                                      , "R7-M17"
"https://images.unsplash.com/photo-1534256958597-7fe685cbd745", "18.0" , "<ul><li>Plump steamed edamame pods</li><li>White truffle salt seasoning</li><li>Toasted sesame oil drizzle</li><li>Maldon sea salt finish</li><li>Vegan, gluten-free</li><li>Contains soy</li></ul>"                                                 , "Sakura Omakase"     , "Appetizers" , "a41m58nshylhvkh0os", "Japanese"           , "Edamame Truffle"               , "Steamed edamame tossed with truffle salt and sesame oil."                                                , "R7-M18"
"https://images.unsplash.com/photo-1580822184713-fc5400e7fe10", "22.0" , "<ul><li>Crispy shrimp tempura</li><li>Creamy avocado</li><li>Torched freshwater eel</li><li>Sweet unagi glaze</li><li>Tobiko and sesame topping</li><li>Contains shellfish, soy, and gluten</li></ul>"                                               , "Sakura Omakase"     , "Rolls"      , "8w2lhnr1co96llt0td", "Japanese"           , "Dragon Roll"                   , "Shrimp tempura, avocado, eel, and unagi glaze."                                                          , "R7-M19"
"https://images.unsplash.com/photo-1551504734-5ee1c4a1479b"   , "14.0" , "<ul><li>Soft pillowy mochi shell</li><li>Ceremonial-grade Uji matcha</li><li>House-churned ice cream</li><li>Dusted with matcha powder</li><li>Served frozen</li><li>Contains dairy and soy</li></ul>"                                               , "Sakura Omakase"     , "Desserts"   , "burvxjzfutpotmhfho", "Japanese"           , "Matcha Mochi Ice Cream"        , "House-made mochi filled with ceremonial-grade matcha ice cream."                                         , "R7-M20"
"https://images.unsplash.com/photo-1565299585323-38d6b0865b47", "14.0" , "<ul><li>Achiote-marinated pork</li><li>Slow-cooked on vertical spit</li><li>Caramelized pineapple</li><li>Fresh cilantro and diced onion</li><li>Warm house-made corn tortillas</li><li>Gluten-free</li></ul>"                                       , "Casa del Sol"       , "Mains"      , "xvi8cbcvhaio084nu4", "Mexican"            , "Street Tacos al Pastor"        , "Marinated pork, pineapple, cilantro, and onion on corn tortillas."                                       , "R8-M21"
"https://images.unsplash.com/photo-1599974579688-8dbdd335c77f", "16.0" , "<ul><li>Slow-braised beef birria</li><li>Melted Oaxaca cheese</li><li>Crispy flour tortilla</li><li>Rich consommé for dipping</li><li>Pickled onion and lime garnish</li><li>Contains dairy and gluten</li></ul>"                                    , "Casa del Sol"       , "Mains"      , "38ndxb7wmdyesfseji", "Mexican"            , "Birria Quesadilla"             , "Slow-braised beef birria, melted Oaxaca cheese, and consommé for dipping."                               , "R8-M22"
"https://images.unsplash.com/photo-1541529086526-db283c563270", "12.0" , "<ul><li>Ripe Hass avocados</li><li>Hand-mashed tableside</li><li>Serrano chili and fresh lime</li><li>Cilantro and sea salt</li><li>Served with warm tortilla chips</li><li>Vegan, gluten-free</li></ul>"                                            , "Casa del Sol"       , "Appetizers" , "sxikkcsio8e0mwv9ev", "Mexican"            , "Guacamole Tableside"           , "Fresh avocado, serrano chili, lime, and cilantro prepared to order."                                     , "R8-M23"
"https://images.unsplash.com/photo-1613514785940-daed07799d9b", "18.0" , "<ul><li>Corn tortillas filled with shredded chicken</li><li>Tangy tomatillo cream sauce</li><li>Mexican crema drizzle</li><li>Crumbled queso fresco</li><li>Served with rice and beans</li><li>Contains dairy</li></ul>"                             , "Casa del Sol"       , "Mains"      , "6hnpfpqq7xqv427fqo", "Mexican"            , "Enchiladas Suizas"             , "Chicken enchiladas in creamy tomatillo sauce with crema and queso fresco."                               , "R8-M24"
"https://images.unsplash.com/photo-1551504734-5ee1c4a1479b"   , "10.0" , "<ul><li>Golden-fried churros</li><li>Cinnamon sugar coating</li><li>Dark Mexican chocolate dipping sauce</li><li>Cajeta caramel drizzle</li><li>Made fresh to order</li><li>Contains dairy and gluten</li></ul>"                                     , "Casa del Sol"       , "Desserts"   , "2ya5bi8xoy80wqculs", "Mexican"            , "Churros con Chocolate"         , "Crispy cinnamon churros with dark Mexican chocolate dipping sauce."                                      , "R8-M25"
"https://images.unsplash.com/photo-1568901346375-23c9450c58cd", "16.0" , "<ul><li>Double-smashed beef patties</li><li>Melted American cheese</li><li>Tangy dill pickles</li><li>Secret Stack sauce</li><li>Toasted brioche bun</li><li>Contains dairy and gluten</li></ul>"                                                    , "The Stack House"    , "Mains"      , "qtupyegao4vmiigsje", "American"           , "Classic Smash Burger"          , "Double-smashed beef patties, American cheese, pickles, and Stack sauce."                                 , "R9-M26"
"https://images.unsplash.com/photo-1594212699903-ec8a3eca50f5", "18.0" , "<ul><li>Premium Wagyu beef patty</li><li>Melted gruyère cheese</li><li>Decadent truffle aioli</li><li>Slow-caramelized onions</li><li>Toasted brioche bun</li><li>Contains dairy and gluten</li></ul>"                                               , "The Stack House"    , "Mains"      , "fks47ev0g2gfnwylvk", "American"           , "Truffle Stack Burger"          , "Wagyu beef, gruyère, truffle aioli, and caramelized onions."                                             , "R9-M27"
"https://images.unsplash.com/photo-1573080496219-bb080dd4f877", "10.0" , "<ul><li>Crispy golden fries</li><li>House-made cheddar sauce</li><li>Smoky bacon bits</li><li>Sliced jalapeños</li><li>Fresh scallions</li><li>Contains dairy</li></ul>"                                                                             , "The Stack House"    , "Sides"      , "stxyzmsnoni404fugo", "American"           , "Loaded Stack Fries"            , "Crispy fries with cheddar sauce, bacon bits, jalapeños, and scallions."                                  , "R9-M28"
"https://images.unsplash.com/photo-1572490122747-3968b75cc699", "12.0" , "<ul><li>Hand-spun to thick perfection</li><li>Premium small-batch ice cream</li><li>House whipped cream topping</li><li>Available in vanilla bean, chocolate malt, and strawberry</li><li>Served in a frosted glass</li><li>Contains dairy</li></ul>", "The Stack House"    , "Drinks"     , "ks3qne1jf7ofvpv24x", "American"           , "Craft Milkshake"               , "Hand-spun milkshake with premium ice cream and whipped cream."                                           , "R9-M29"
"https://images.unsplash.com/photo-1586816001966-79b736744398", "14.0" , "<ul><li>Buttermilk-brined chicken thigh</li><li>Double-breaded and fried crispy</li><li>Fiery Nashville hot glaze</li><li>Creamy coleslaw</li><li>Bread-and-butter pickles</li><li>Contains dairy and gluten</li></ul>"                              , "The Stack House"    , "Mains"      , "otgoggjpg4ror1k2d7", "American"           , "Nashville Hot Chicken Sandwich", "Crispy fried chicken, spicy Nashville glaze, coleslaw, and pickles."                                     , "R9-M30"
"https://images.unsplash.com/photo-1562565652-a0d8f0c59eb4"   , "18.0" , "<ul><li>Thin rice noodles wok-fired</li><li>Plump tiger prawns</li><li>Tangy tamarind sauce</li><li>Crushed roasted peanuts</li><li>Fresh lime and bean sprouts</li><li>Contains shellfish, peanuts, and soy</li></ul>"                              , "Bangkok Bites"      , "Mains"      , "407hj6rqok52icmpc0", "Thai"               , "Pad Thai Goong"                , "Rice noodles with tiger prawns, tamarind, peanuts, and lime."                                            , "R10-M31"
"https://images.unsplash.com/photo-1455619452474-d2be8b1e70cd", "16.0" , "<ul><li>Fragrant green curry paste</li><li>Rich coconut milk base</li><li>Tender chicken breast</li><li>Thai basil and bamboo shoots</li><li>Steamed jasmine rice</li><li>Gluten-free</li></ul>"                                                     , "Bangkok Bites"      , "Mains"      , "hlf8eq7vz8x8x8l85g", "Thai"               , "Green Curry Chicken"           , "Coconut green curry with Thai basil, bamboo shoots, and jasmine rice."                                   , "R10-M32"
"https://images.unsplash.com/photo-1569058242567-93de6f36f8e6", "14.0" , "<ul><li>Plump shrimp in spicy-sour broth</li><li>Fresh lemongrass and galangal</li><li>Kaffir lime leaves</li><li>Bird's-eye chilies</li><li>Straw mushrooms and cilantro</li><li>Contains shellfish, gluten-free</li></ul>"                         , "Bangkok Bites"      , "Appetizers" , "8ssm7cilb0hjhcyvjb", "Thai"               , "Tom Yum Goong"                 , "Spicy and sour shrimp soup with lemongrass, galangal, and kaffir lime."                                  , "R10-M33"
"https://images.unsplash.com/photo-1562565652-a0d8f0c59eb4"   , "15.0" , "<ul><li>Wide rice noodles flash-wok'd</li><li>Garlic and Thai bird chili</li><li>Holy basil and bell peppers</li><li>Choice of protein</li><li>Savory soy-oyster glaze</li><li>Contains soy</li></ul>"                                               , "Bangkok Bites"      , "Mains"      , "bzf7ke3dq0wsz40enl", "Thai"               , "Drunken Noodles"               , "Stir-fried wide rice noodles with Thai basil, chili, and vegetables."                                    , "R10-M34"
"https://images.unsplash.com/photo-1604152135912-04a022e23696", "8.0"  , "<ul><li>Warm sweet glutinous rice</li><li>Ripe Thai mango slices</li><li>Rich coconut cream drizzle</li><li>Toasted sesame seeds</li><li>Traditional Thai dessert</li><li>Vegan, gluten-free</li></ul>"                                              , "Bangkok Bites"      , "Desserts"   , "j6m0cb7ynqf0fd5bi2", "Thai"               , "Mango Sticky Rice"             , "Sweet glutinous rice with fresh mango and coconut cream."                                                , "R10-M35"
"https://images.unsplash.com/photo-1512621776951-a57141f2eefd", "16.0" , "<ul><li>Fluffy tri-color quinoa</li><li>Caramelized roasted sweet potato</li><li>Massaged kale</li><li>Creamy avocado slices</li><li>Lemon-tahini dressing</li><li>Vegan, gluten-free</li></ul>"                                                     , "Green & Grain"      , "Bowls"      , "fdcaxiczhds3ozjxs8", "Healthy"            , "Harvest Bowl"                  , "Quinoa, roasted sweet potato, kale, avocado, and tahini dressing."                                       , "R11-M36"
"https://images.unsplash.com/photo-1546069901-ba9599a7e63c"   , "18.0" , "<ul><li>Fresh cubed ahi tuna</li><li>Ripe mango and avocado</li><li>Shelled edamame</li><li>Crispy wontons</li><li>Ponzu and sesame dressing</li><li>Contains raw fish and soy</li></ul>"                                                            , "Green & Grain"      , "Bowls"      , "vsuziuhno126rbblq5", "Healthy"            , "Poke Power Bowl"               , "Ahi tuna, mango, edamame, avocado, and ponzu over sushi rice."                                           , "R11-M37"
"https://images.unsplash.com/photo-1540914124281-342587941389", "14.0" , "<ul><li>Nutty farro grain base</li><li>Fire-roasted peppers</li><li>Cool cucumber and tangy feta</li><li>Kalamata olives</li><li>Bright herb vinaigrette</li><li>Vegetarian</li></ul>"                                                               , "Green & Grain"      , "Salads"     , "1bmvc2sbtqdst8bbx0", "Healthy"            , "Mediterranean Grain Salad"     , "Farro, roasted peppers, cucumber, feta, olives, and herb vinaigrette."                                   , "R11-M38"
"https://images.unsplash.com/photo-1505576399279-0d06b7929ae9", "12.0" , "<ul><li>Baby spinach and ripe banana</li><li>Frozen mango chunks</li><li>Coconut water base</li><li>Spirulina superfood boost</li><li>No added sugar</li><li>Vegan, gluten-free</li></ul>"                                                           , "Green & Grain"      , "Smoothies"  , "gb1lhgin48pu67nt3b", "Healthy"            , "Green Goddess Smoothie"        , "Spinach, banana, mango, coconut water, and spirulina."                                                   , "R11-M39"
"https://images.unsplash.com/photo-1511690656952-34342bb7c2f2", "15.0" , "<ul><li>Thick-cut cauliflower steak</li><li>Oven-roasted to golden caramelization</li><li>Bright chimichurri sauce</li><li>Toasted almonds</li><li>Pomegranate seeds</li><li>Vegan, gluten-free</li></ul>"                                           , "Green & Grain"      , "Bowls"      , "l0pycook8b6a3p3bnj", "Healthy"            , "Roasted Cauliflower Steak"     , "Whole roasted cauliflower with chimichurri, almonds, and pomegranate."                                   , "R11-M40"
